url,POSTING_CARD_GALLERY,CARD_FAV,price_value,price_type,expenses_value,expenses_type,location,POSTING_CARD_FEATURES,description,CARD_VIEWPHONE,CARD_WHATSAPP,CARD_CONTACT_MODAL,address,square_meters_area,rooms,phone,bedrooms,bathrooms,parking
/propiedades/clasificado/veclphpa-dueno-vende-casa-ph-al-frente-con-garage-cubierto-53984287.html,50,,120000,USD,,,"Ciudadela, Tres de Febrero",144 m² tot.5 amb.2 dorm.3 baños1 coch.,"Casa ph al frente con entrada independiente y garage cubierto, 2 plantas de 70 metros cuadrados aproximadamente cada una. Planta Baja: Garage Cubierto; con portón de madera corredizo de 6 x 4 metros, amplio para una camioneta, puerta reja y puerta de madera para ingresar al comedor desde el garage. Comedor-Cocina; con ventanal y ventana con vista al patio trasero, conexión de gas para calefacción. Comedor con cielo razo de madera tiranteado y machimbrado simil cabaña, barnizado teñido color cedro. Mueble de madera para empotrar heladera, mesada de madera anchico con cerámica en pared y bajo mesada. Linving; con bar de madera incorporado a la pared, conexión de gas para calefacción, acceso a toilette e ingreso independiente desde la calle, con previo porche de entrada, con ventana y persiana de madera que da al porche. Porche de entrada; acceso independiente a la casa, canilla de agua, puerta reja y puerta de madera para ingresar al living. Toilette; inodoro y lavatorio, ventilación hacia el pasillo con ventana estilo ventilete doble hoja. Escaleras de hormigón para subir a la planta alta, forrada en madera anchico y laca poliuretánica. Planta Alta: Estudio-Escritorio tipo Loft (se ve el living desde éste ambiente) ; ubicado en el descanso de la escalera con ventana (enrejada) con vista a la terraza y patio trasero, con baulera. Hall de entrada a las piezas: Piso de madera, espejo de 2 metros de alto por 1, 5 metros de ancho pegado de forma fija a la pared. Habitación 1: Piso de madera, placard, baño en suite ventanal con balcón (enrejado) con vista al patio trasero y salida a la terraza-lavadero. El Baño tiene inodoro largo con mochila de apoyo, bidet, pileta, receptáculo grande, ropero de baño hecho de material forrado en cerámica con estantes y frente (puertas) de madera. Habitación 2: Piso de madera, placard, baño en suite, ventanal con balcón cubierto vista a la calle con reja y con ventana de aluminio para que quede estilo jardín de invierno. Escalera de madera que lleva a un entrepiso de madera que funcionaba como otra habitación o estudio, con barandas de madera todo barnizado. Baño cuenta con inodoro largo con mochila de apoyo, bidet, pileta, bañadera y ventana de madera con persiana de madera que da hacia la calle. Terraza-Lavadero Cubierto; se accede a través del balcón de la habitación 1 (habitación trasera) , cuenta con conexión para lavarropas, pileta lavadero, conexión para termotanque, vista al patio trasero y pileta, piso de cerámica, Patio Trasero: Quincho Cubierto con parrilla con chimenea con tiraje, bacha con mesada de marmol agua fria y caliente con cerámica arriba y en el bajo mesada, barra de madera para comer en taburete. Pileta y área verde. Techo Planta Alta: techo a dos aguas barnizado teñido color cedro en las habitaciones, y el resto de los ambientes en blanco. Tapa rollo en todos los ambientes que poseen persiana, barnizados y teñidos color cedro. Puertas: Las puertas de todos los ambientes son de madera cedro con vidrios, de diferentes medidas, barnizadas.",,WhatsApp,Contactar,Ombú,144,5,1165821028,2,3,1
/propiedades/clasificado/veclphpa-dueno-vende-encantador-ph-contrafrente-luminoso-super-55008976.html,28,,110000,USD,,,"Florida, Vicente López",62 m² tot.2 amb.1 dorm.1 baño,"Ubicado en Florida Vicente Lopez en inmejorable zona, área residencial que se caracteriza por su tranquilidad con numerosos espacios verdes y cercanía de centro comercial (dot) colegios y transportes como la Estación Juan B Justo Línea Mitre. Fácil acceso a Capital Federal, Panamericana, General Paz. Opción ideal para los que buscan algo de tranquilidad sin renunciar a la cercanía de Capital Federal. La propiedad cuenta con living de 3x2 con hogar comedor de 3x2, 50 dormitorio de 4x3, 50 con placard y aire acondicionado y caloventor, entrepiso de 3, 50 x 2, 30 con espacio de guardado, baño completo con box de ducha, cocina de 2, 70 x1, 70 con piso de cerámica lavadero en patio, terraza de 5x2, 39 patio de 4, 30 y 4 x 1, 50. Cañería y electricidad a nuevo. entrada independiente. sin expensas! Arba $3. 500. municipal $7. 700. ideal inversor excelente renta",,,Contactar,Ohiggins 265,62,2,1165821028,1,1,
/propiedades/clasificado/veclphpa-dueno-directo-vende-ph-en-zona-residencial-sin-54628059.html,11,,98000,USD,,,"Villa Lugano, Capital Federal",170 m² tot.5 amb.3 dorm.1 baño,"Excelente ubicación, la propiedad esta ubicada en el casco histórico de villa lugano, tiene entrada independiente, propiedad de 4 ambientes 3 habitaciones, 2 patios cubiertos, terraza de 38 metros cuadrados, ambientes amplios muy iluminosos",,WhatsApp,Contactar,Cosquín,170,5,1165821028,3,1,
/propiedades/clasificado/veclphpa-vendo-excelente-ph-m-centro-comercial.-dueno-directo.-49793108.html,11,,109500,USD,,,"Parque Avellaneda, Capital Federal",112 m² tot.4 amb.3 dorm.1 baño,"Inmobiliarias abstenerse! . Dueño directo sin comisión. Comunicarse con Roberto por wassap al Ver datos o por mail. Ver datos se acepta permuta. . Excelente departamento ""como nuevo"". sin expensas!, compuesto de 3 dormitorios, 2 baños, cocina, comedor, impresionante terraza independiente ( con posibilidad de nueva superficie) super luminoso! En el corazón del centro comercial, 5 cuadras subte E, innumerables medios de transportes, a pocas cuadras del Parque Avellaneda.",,WhatsApp,Contactar,Martínez Castro,112,4,1165821028,3,1,
/propiedades/clasificado/veclphpa-dueno-vende-ph-sin-expensas.-punta-mogotes-4-cuadras-53690119.html,29,,45000,USD,,,"Punta Mogotes, Mar del Plata",36 m² tot.2 amb.2 dorm.1 baño,"Dueño vende hermoso ph de dos ambientes a cuatro cuadras del mar. Ciudad Mar del Plata, barrio Punta Mogotes, sobre avenida Mario Bravo. Primer piso por escalera. La propiedad cuenta con dos ambientes con semipiso en cada uno. Los ambientes son amplios y luminosos. Baño completo, amplio, con mampara. Todos los servicios instalados (gas, agua, luz) Barrio tranquilo. Propiedad segura (cuenta con puerta de seguridad en el primer piso independiente de la puerta general de entrada) es sin expensas. No cuenta con garage. La escritura a cargo del comprador. Tiene trabajo de techo realizado hace poco tiempo. Ideal inversión. Casa de verano o vivienda permanente. Venta dueño directo. Sin comision. Tomo permuta por otra propiedad en condiciones similares en zona centro de Mar del Plata/microcentro o La Perla. No acepto vehículo como parte de pago. Para más detalles y coordinar visita comunicarse directamente por Whatsapp.",,WhatsApp,Contactar,Avenida Mario Bravo,36,2,1165821028,2,1,
/propiedades/clasificado/veclphpa-dueno-vende-ph-3-amb-al-frente-con-garaje-y-terraza-54943471.html,9,,55000,USD,,,"Billinghurst, General San Martín",9168 m² tot.3 amb.2 dorm.1 baño1 coch.,"Ph 3 ambientes con disposición al frente, la misma consta de cocina, living comedor, dos dormitorios, baño, garaje, patio con lavadero y terraza. La propiedad se encuentra alquilada hasta Noviembre del 2025.",,,Contactar,Navarro Viola & Carlos Guido Spano,9168,3,1134710394,2,1,1
/propiedades/clasificado/veclphpa-dueno-vende-ph-ideal-para-familia-patio-terraza.-54852690.html,6,,75000,USD,,,"Dock Sud, Avellaneda",160 m² tot.5 amb.4 dorm.1 baño,"Esta espaciosa propiedad cuenta con 4 habitaciones, con la posibilidad de transformar una en una quinta habitación o un cómodo escritorio. En la planta baja, encontrarás dos habitaciones, mientras que en la terraza hay otras dos, una de las cuales incluye su propio baño privado. Disfruta de un baño completo y una cocina amplia de 2. 50 x 2. 50 m, perfecta para compartir momentos en familia. El living, de 3 x 3. 50 m, y el comedor de 3 x 3 m ofrecen un espacio ideal para relajarse y disfrutar de agradables comidas. Además, el patio de 5 x 3 m es el lugar perfecto para que los niños jueguen o para disfrutar de una tarde al aire libre. Con ventanales en cada ambiente, la luz natural inunda el hogar, creando un ambiente cálido y acogedor. ¡Y no te preocupes por tus amigos de cuatro patas, la propiedad admite mascotas! Ph amoblado con muebles de algarrobo. No dejes pasar la oportunidad de vivir en un lugar cómodo y funcional, ideal para el crecimiento de tu familia. ¡Agenda tu visita hoy mismo y descubre todo lo que este ph tiene para ofrecer!",,,Contactar,J.Nuñez 1285,160,5,1134710394,4,1,
/propiedades/clasificado/veclphpa-duena-vende-excelente-ph-de-planta-baja-sin-53620687.html,6,,55000,USD,1500,$,"Alberdi, Córdoba",65 m² tot.4 amb.2 dorm.1 baño,"Excepcional ph de 65, 5 metros cuadrados propios, en excelente ubicación, gan luminosidad y estado de conservación. Dos habitaciones amplias, alfombradas, baño amplio, living comedor amplio, cocina con desayunador y patio. Techos altos, la mejor construcción y aberturas de madera de gran calidad recuperada. Tres aires acondicionados, uno es frío calor y nuevo. Está alquilado hasta noviembre. Sin expensas. Fotos: https: //www. dropbox. com/sh/y86qd2iqc5o94aj/aadlkusaxgfVxgbsmcgpv6kqa? dl=0",,,Contactar,Santa Rosa 1234,65,4,1134710394,2,1,
/propiedades/clasificado/veclphpa--oportunidad-dueno-directo!-vendo-casa-tipo-ph-52290424.html,24,,65000,USD,,,"Burzaco, Almirante Brown",190 m² tot.6 amb.3 dorm.2 baños1 coch.,"Casa en venta. Ph al fondo (no interno). Consta de: - tres dormitorios. - tres baños instalados. - cocina comedor diario. - living comedor amplio. - jardin al frente. - garage cubierto pasante (no incluido en el precio, pero con posibilidad de incluirlo) - pequeño patio al fondo con otro ambiente (estilo depósito) - servicios individuales (luz, gas Y agua corriente). *sin expensas* *posibilidades de financiación parcial* *escritura Y plano* *se puede vender en block con ph de frente. Consulte. * ubicación: - A 20mts. De asfalto. - colectivos: A 20mts. (linea 504) y A 200mts (linea 160) - colegio, supermercado mayorista Y dispensario en cercanías.",,,Contactar,José Hernández 2179,190,6,1134710394,3,2,1
/propiedades/clasificado/veclphpa-dueno-vende-ph-4-ambientes-sin-comision-y-sin-expensas-52967565.html,36,,225000,USD,,,"Almagro Sur, Almagro",117 m² tot.4 amb.2 dorm.1 baño,"La propiedad se encuentra ubicada sobre la calle Treinta y Tres Orientales 193, entre Belgrano e Hipólito Yrigoyen, en el barrio de Almagro lindante con Caballito en la Ciudad Autónoma de Buenos Aires. Es un ph A estrenar que se encuentra en un complejo de 4 phs reciclados completamente a nuevo. La propiedad original tiene protección histórica de la ciudad y se puso en valor potenciando diferentes elementos de la construcción original que data de 1920, como pisos de pinotea, techos de bovedilla, aberturas de madera, perfiles de la estructura y molduras de la fachada entre otras cosas. Esta unidad en particular, se trata de un ph de 2 pisos en planta baja al frente y consta de: 2 dormitorios, 1 escritorio, 1 baño completo, 1 toilette, living, comedor, cocina y patio con parrilla con espacio para colocar una mesa con sillas. La unidad tiene amplios ventanales y el patio que le otorgan a todos los ambientes plena luz durante todo el día. planta baja: El frente de la propiedad está protegido con rejas de hierro en todas las ventanas y en el acceso principal. Cuenta con un pequeño hall de ingreso que comparte únicamente con otra unidad. Al ingresar nos da la bienvenida un amplio living comedor con gran ventanal con rejas hacia el frente. Toilette amplio con gran mesada y espejo. Comedor diario con terminación de hormigón a la vista, amplio lugar para ubicar mesa, sillas, muebles de guardado e integrado a la cocina. Separada por una barra desayunadora se abre este ambiente super luminoso. Mesada en L con bacha, muebles de bajo mesada y estantes totalmente en madera, realizados a medida para estrenar y distribuidos para instalar diferentes electrodomésticos. Cuenta con espacio para Spar, cocina a gas y lugar especial para colocar heladera y lavavajillas. Sobrio revestimiento de porcelanato de primera línea en la pared. Amplia ventana con salida al patio donde se ubica la parrilla, una amplia mesada de trabajo y la caldera. Además cuenta con un sector especial para lavadero, donde se encuentra la conexión para el lavarropas y amplio espacio de guardado y colgado de ropa. Escalera que nos lleva al primer piso. Primer piso: Éste es el sector íntimo de la propiedad. En él se encuentran los dos dormitorios cada uno con su placard con puertas corredizas y su interior con cajones y espacio para colgar. Las ventanas cuentan con rejas de protección hacia el frente del ph. Además en esta planta hay un espacio de escritorio muy amplio con placard para guardado que se puede utilizar como dependencia o como espacio de trabajo. Ambos baños cuentan con amplios espacios de guardado y grandes espejos. La propiedad tiene caldera dual que se utiliza para agua sanitaria y para calefacción por radiadores que ya están colocados por ambiente. Además tiene instalación de aire acondicionado en cada espacio de la casa. La venta es dueño directo sin comisión Y sin expensas. Superficie Cubierta: 107 m2 aprox. Superficie Descubierta: 10 m2 aprox. Superficie Total: 117 m2 aprox. Barrio: La propiedad se encuentra en la calle Treinta y Tres Orientales 193 entre Belgrano e Hipólito Yrigoyen en Almagro, en la Ciudad Autónoma de Buenos Aires. Este barrio pertenece a la Comuna 5. El barrio se caracteriza por ser tranquilo, de casas bajas y en pleno desarrollo. Cerca del Parque Rivadavia, confitería Las Violetas, Parque Centenario, Basílica María Auxiliadora, zona comercial de Acoyte y Rivadavia, polo gastronómico de Pedro Goyena, Club Italiano, Comisaría Comunal 5 y diversos negocios de cercanía. A tan sólo 3 cuadras de la esquina de Av. . La Plata y Av. Rivadavia. Zona de amplia conectividad con el resto de la ciudad y zonas del Gran Buenos Aires. Paradas de colectivos: líneas 132, 26, 2, 103, 8, 5, 56, 65, 15, 85, 84, 88, 160, 128, 181, 112, entre otras. Subte: Río de Janeiro (Línea A). - Esta propiedad cuenta con plano digital, tour virtual 360° y video recorrido a pie. -El mobiliario es ilustrativo, no está a la venta. - Los metros aquí publicados son aproximados. Los reales surgen de la escritura o plano de mensura. Nota: La información gráfica y escrita contenida en el presente aviso es meramente a título estimativo y no forma parte de ningún tipo de documentación contractual. Las medidas y superficies definitivas surgirán del título de propiedad del inmueble referido. Asimismo, los importes de impuestos, tasas, servicios y expensas aquí indicados están sujetos a verificación por parte del potencial comprador. El valor del inmueble indicado en el presente puede ser modificado sin previo aviso.",,WhatsApp,Contactar,Treinta y Tres Orientales 193,117,4,1134710394,2,1,
/propiedades/clasificado/veclphpa-dueno-vende-ph-en-villa-real-4-amb-playroom-a-pocas-55263233.html,9,,159500,USD,,,"Villa Real, Capital Federal",160 m² tot.4 amb.3 dorm.1 baño,"Dueño vende ph en villa real de 4 amb + playroom A pocas cuadras de villa devoto-ph sin expensas-propiedad no apto credito. Al ingresar a la propiedad nos encontramos con living comedor muy luminoso que comunica todos los ambientes. Cocina comedor con acceso al balcón que se ubica al frente del inmueble, se destaca por tener varios lugares de guardado. Baño completo con ventilación hacia el exterior. Dormitorio principal amplio con importante ventana, el segundo dormitorio también muy luminoso con ventana a la calle. Pequeño tercer dormitorio con ventanal hacia el pulmón de la vivienda. Al final del recorrido en la segunda planta, está el corazón del ph, un hermoso playroom con toillet y lugar de guardado; lavadero y terraza que se destaca por sus importantes medidas, con parrilla techada. El ph se encuentra estratégicamente ubicado, con accesos inmediatos a varios colegios, a la zona comercial de las Avdas. Beiro y Lope de Vega, con posibilidades de todos los medios de locomoción; está a metros, del lugar de esparcimiento más concurrido del barrio, la plaza Terán.",,,Contactar,Víctor Hugo 1996,160,4,1134710394,3,1,
